5,1,1
60,8,4
300,32,8
14400,128,16
43200,512,24
86400,1024,32
60,8,2
60,2,2
5,2,2
5,1,2
60,8,6
60,16,6
300,32,6
300,16,6
3600,32,8
3600,64,8
3600,96,12
3600,64,12
14400,128,12
14400,96,12
86400,1024,24
86400,512,24
43200,1024,32
43200,512,32
60,2,1
5,2,1
60,16,4
60,2,4
300,16,4
5,2,4
3600,32,6
60,16,8
300,16,8
300,64,8
300,64,12
3600,96,16
14400,256,16
14400,96,16
14400,256,24
43200,256,16
43200,1024,24
43200,256,24
86400,512,32
60,8,1
60,1,1
5,8,4
300,8,4
300,32,4
5,1,4
3600,16,6
3600,64,6
60,8,8
60,32,8
300,32,12
300,96,12
3600,128,16
3600,64,16
14400,512,24
14400,128,24
43200,512,16
43200,128,16
